Link,Precio,Texto,Fecha,Region,Comuna
https://www.construmart.cl/terciado-estructural-canto-azul-9x1220-mm-2-44-mt/p,$14290,TABLERO TERCIADO ESTRUCTURAL 9 X 1220 X 2440 MM,2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/terciado-ranurado-12-x-1-220-x-2-440-mm/p,$21990,TERCIADO RANURADO CLASICO 12 X 1220 X 2440 MM,2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/tablero-osb-11-1-x-1-220-x-2-440-mm/p,$13690,"TABLERO OSB 11,1 X 1220 X 2440 MM",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/tabla-tapa-3-2-mt/p,$890,"TABLA TAPA 1 X 3"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-verde-dimensionado-2x2-3-2-mt/p,$1730,"PINO DIMENSIONADO VERDE 2"" X 2"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/terciado-estructural-canto-azul-18x1220-mm-2-44-mt/p,$21690,TABLERO TERCIADO ESTRUCTURAL 18 X 1220 X 2440 MM,2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-1x2-3-2-mt/p,$1330,"PINO CEPILLADO SECO 1"" X 2"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/tablero-estructural-osb-st-9-5x1220x2440-mm/p,$13290,"TABLERO OSB 9,5 X 1220 X 2440 MM",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/terciado-ranurado-colonial-8-5-x-1-220-x-2-440-mm/p,$18190,TERCIADO RANURADO COLONIAL 8.5 X 1220 X 2440 MM,2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-verde-dimensionado-2x3-3-2-mt/p,$2990,"PINO DIMENSIONADO VERDE 2"" X 3"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-1x3-3-2-mt/p,$1870,"PINO CEPILLADO SECO 1"" X 3"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-1x4-3-2-mt/p,$2470,"PINO CEPILLADO SECO 1"" X 4"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/tabla_tapa_1_x_4_3_2_mt/p,$2590,"TABLA TAPA 1"" X 4"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/terciado-estructural-canto-azul-15x1220-mm-2-44-mt/p,$28970,"TABLERO TERCIADO ESTRUCTURAL CANTO AZUL 15 X 1220 MM 2,44 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/tablero-cierre-perimetral-osb-multiproposito-8x1220x2440-mm/p,$14790,TABLERO OSB CIERRE PERIMETRAL 8 X 1220 X 2440 MM,2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-2x2-3-2-mt/p,$3190,"PINO CEPILLADO SECO 2"" X 2"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-tinglado-3-4x5-3-2-mt/p,$2650,"PINO TINGLADO CEPILLADO SECO 3/4"" X 5"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-1x5-3-2-mt/p,$4070,"PINO CEPILLADO SECO 1"" X 5"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/perfil-seco-cielo-1-2x4-3-2-mt/p,$2290,"PINO CIELO SECO 1/2"" X 4"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-verde-dimensionado-1x4-3-2-mt/p,$2940,"PINO DIMENSIONADO VERDE 1"" X 4"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/terciado-estructural-12x1220-mm-2-44-mt/p,$26840,TABLERO TERCIADO ESTRUCTURAL LEONERA 12 X 1220 X 2440 MM,2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-cepillado-seco-2-x-8-3-2-mt/p,$11990,"PINO CEPILLADO SECO 2"" X 8"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-verde-dimensionado-1x2-3-2-mt/p,$1410,"PINO DIMENSIONADO VERDE 1"" X 2"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-1x6-3-2-mt/p,$4790,"PINO CEPILLADO SECO 1"" X 6"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-2x3-3-2-mt/p,$5290,"PINO CEPILLADO SECO 2"" X 3"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-1x10-3-2-mt/p,$11190,"PINO CEPILLADO SECO 1"" X 10"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-cepillado-seco-2-x-6-3-2-mt/p,$9990,"PINO CEPILLADO SECO 2"" X 6"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-1x8-3-2-mt/p,$7990,"PINO CEPILLADO SECO 1"" X 8"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/polin-impregnado-3-a-4-2-44-mt/p,$6550,"POLIN PINO IMPREGNADO 3"" A 4"" 2,44 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/tablero-durolac-2-8x1850x2440-mm/p,$11690,"TABLERO DUROLAC 2,8 X 1520 X 2440 MM BLANCO",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/tablero-cierre-perimetral-olb-8x1220x2440-mm/p,$14790,TABLERO OLB CIERRE PERIMETRAL 8 X 1220 X 2400 MM,2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-cepillado-seco-2-x-4-3-2-mt/p,$6510,"PINO CEPILLADO SECO 2"" X 4"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-verde-dimensionado-2x4-3-2-mt/p,$6910,"PINO DIMENSIONADO VERDE 2"" X 4"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/rollete-impregnado-3-a-4-2-6-mt/p,$7430,"ROLLETE IMPREGNADO 3"" A 4"" 2,60 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-seco-cepillado-2x10-3-2-mt/p,$20510,"PINO CEPILLADO SECO 2"" X 10"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/viga-estructural-2-x-6-4-mt/p,$17470,"VIGA ESTRUCTURAL 2"" X 6"" 4 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-impregnado-dimensionado-verde-2x3-3-2-mt/p,$6270,"PINO DIMENSIONADO VERDE IMPREGNADO 2"" X 3"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-cuarton-4x4-3-2-mt/p,$9870,"PINO CUARTON 4"" X 4"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
https://www.construmart.cl/pino-verde-dimensionado-1x3-3-2-mt/p,$1890,"PINO DIMENSIONADO VERDE 1"" X 3"" 3,2 MT",2024-01-24T20:18:14.969Z,I TARAPACA,IQUIQUE
